algorithm_name,env_n,size,best_solution,H,states,time
SA,11,8,"[4, 6, 0, 2, 7, 5, 3, 1]",0,215,0.00431060791015625
GA,11,8,"[6, 3, 1, 7, 4, 0, 7, 5]",1,1999,1.52048659324646
random,12,8,"[5, 1, 4, 2, 7, 3, 6, 0]",2,2000,0.02338099479675293
HC,12,8,"[1, 4, 7, 0, 3, 5, 2, 5]",1,4,0.004608869552612305
SA,12,8,"[6, 0, 2, 7, 5, 3, 1, 4]",0,334,0.005395412445068359
GA,12,8,"[3, 6, 2, 7, 1, 4, 0, 5]",0,15,0.019571781158447266
random,13,8,"[2, 4, 7, 2, 0, 6, 1, 5]",2,2000,0.028311967849731445
HC,13,8,"[3, 3, 7, 2, 5, 1, 6, 0]",2,3,0.006255149841308594
SA,13,8,"[2, 5, 7, 0, 3, 6, 4, 1]",0,1788,0.03131103515625
GA,13,8,"[5, 3, 1, 6, 2, 5, 7, 4]",1,1999,1.472316026687622
random,14,8,"[5, 4, 6, 0, 5, 7, 1, 3]",2,2000,0.02504754066467285
HC,14,8,"[6, 5, 2, 4, 7, 0, 3, 1]",1,3,0.0061206817626953125
SA,14,8,"[3, 6, 4, 1, 5, 0, 2, 7]",0,205,0.0052394866943359375
GA,14,8,"[2, 5, 1, 4, 0, 6, 3, 7]",1,1999,1.4892935752868652
random,15,8,"[3, 0, 6, 5, 7, 1, 4, 2]",2,2000,0.022741079330444336
HC,15,8,"[6, 1, 3, 7, 0, 2, 5, 1]",1,4,0.005925655364990234
SA,15,8,"[5, 1, 6, 0, 3, 7, 4, 2]",0,726,0.012578010559082031
GA,15,8,"[5, 2, 6, 1, 3, 7, 0, 4]",0,76,0.06578993797302246
random,16,8,"[2, 3, 6, 0, 4, 1, 7, 5]",2,2000,0.02118825912475586
HC,16,8,"[5, 7, 2, 4, 6, 1, 3, 0]",1,5,0.00637507438659668
SA,16,8,"[0, 4, 7, 5, 2, 6, 1, 3]",0,904,0.015616893768310547
GA,16,8,"[3, 6, 0, 7, 4, 1, 5, 2]",0,1274,1.0611834526062012
random,17,8,"[0, 3, 6, 0, 2, 4, 1, 5]",2,2000,0.020082712173461914
HC,17,8,"[2, 5, 7, 0, 3, 6, 4, 1]",0,6,0.008151769638061523
SA,17,8,"[6, 0, 2, 7, 5, 3, 1, 4]",0,148,0.002697467803955078
GA,17,8,"[5, 1, 6, 0, 2, 4, 7, 3]",0,93,0.0782930850982666
random,18,8,"[3, 7, 0, 5, 3, 1, 6, 2]",2,2000,0.023196935653686523
HC,18,8,"[2, 7, 3, 0, 0, 5, 1, 6]",1,4,0.006034374237060547
SA,18,8,"[5, 3, 6, 0, 7, 1, 4, 2]",0,131,0.002930164337158203
GA,18,8,"[5, 3, 1, 6, 2, 5, 7, 0]",1,1999,1.5129225254058838
random,19,8,"[7, 3, 6, 2, 5, 1, 4, 4]",1,2000,0.021647930145263672
HC,19,8,"[4, 1, 5, 6, 2, 0, 7, 3]",1,5,0.007256746292114258
SA,19,8,"[3, 0, 4, 7, 1, 6, 2, 5]",0,225,0.004705905914306641
GA,19,8,"[7, 1, 6, 6, 2, 0, 5, 3]",1,1999,1.5998437404632568
random,20,8,"[2, 5, 7, 0, 7, 3, 6, 1]",2,2000,0.021172046661376953
HC,20,8,"[6, 0, 7, 5, 1, 2, 4, 3]",2,4,0.0049512386322021484
SA,20,8,"[6, 2, 5, 1, 6, 0, 3, 7]",1,2000,0.033319711685180664
GA,20,8,"[2, 4, 7, 3, 0, 6, 1, 5]",0,418,0.31429052352905273
random,21,8,"[1, 3, 6, 2, 7, 4, 6, 0]",2,2000,0.020851612091064453
HC,21,8,"[5, 1, 4, 7, 0, 2, 3, 6]",1,5,0.00680851936340332
SA,21,8,"[4, 2, 0, 6, 1, 7, 5, 3]",0,321,0.005186557769775391
GA,21,8,"[6, 3, 1, 4, 7, 0, 2, 5]",0,52,0.049330949783325195
random,22,8,"[5, 2, 4, 1, 7, 4, 6, 3]",1,2000,0.02563023567199707
HC,22,8,"[3, 0, 6, 4, 2, 5, 1, 4]",2,4,0.006180286407470703
SA,22,8,"[6, 3, 1, 7, 5, 0, 2, 4]",0,354,0.007241487503051758
GA,22,8,"[2, 4, 1, 7, 5, 3, 6, 0]",0,35,0.0379180908203125
random,23,8,"[6, 3, 0, 7, 5, 2, 6, 4]",2,2000,0.028805255889892578
HC,23,8,"[5, 2, 4, 6, 0, 3, 1, 7]",0,7,0.00933980941772461
SA,23,8,"[2, 6, 1, 7, 4, 0, 3, 5]",0,1233,0.019289493560791016
GA,23,8,"[4, 2, 0, 6, 1, 7, 5, 3]",0,1926,1.5181844234466553
random,24,8,"[7, 1, 6, 0, 6, 4, 2, 5]",2,2000,0.023979902267456055
HC,24,8,"[5, 1, 6, 4, 2, 7, 3, 3]",1,4,0.005767822265625
