n,algorithm,seed,success,time,nodes,solution
12,backtracking,24,1,0.0014045238494873047,203,"[2, 9, 7, 0, 3, 6, 10, 1, 11, 5, 8, 4]"
12,backtracking,25,1,7.343292236328125e-05,17,"[9, 6, 1, 10, 0, 7, 4, 11, 8, 2, 5, 3]"
12,backtracking,26,1,0.0005676746368408203,86,"[0, 4, 6, 8, 10, 2, 7, 3, 1, 11, 9, 5]"
12,backtracking,27,1,3.814697265625e-05,13,"[1, 11, 5, 10, 4, 9, 0, 3, 7, 2, 8, 6]"
12,backtracking,28,1,0.0003418922424316406,55,"[4, 1, 8, 6, 11, 0, 7, 5, 10, 2, 9, 3]"
12,backtracking,29,1,0.0013470649719238281,177,"[5, 0, 11, 7, 4, 1, 8, 10, 3, 6, 2, 9]"
12,forward_checking,0,1,0.00026798248291015625,34,"[4, 2, 5, 10, 6, 11, 3, 7, 0, 8, 1, 9]"
12,forward_checking,1,1,0.0007245540618896484,82,"[11, 2, 8, 6, 3, 1, 10, 5, 0, 9, 7, 4]"
12,forward_checking,2,1,0.0001246929168701172,16,"[7, 11, 3, 0, 6, 9, 2, 10, 1, 4, 8, 5]"
12,forward_checking,3,1,0.00022101402282714844,27,"[11, 6, 4, 0, 8, 5, 2, 10, 1, 7, 9, 3]"
12,forward_checking,4,1,0.0012125968933105469,136,"[0, 9, 4, 6, 1, 10, 7, 11, 3, 8, 2, 5]"
12,forward_checking,5,1,0.00012540817260742188,16,"[8, 5, 3, 0, 11, 4, 1, 9, 6, 2, 10, 7]"
12,forward_checking,6,1,0.00101470947265625,119,"[3, 10, 7, 5, 2, 0, 6, 11, 9, 1, 4, 8]"
12,forward_checking,7,1,0.0004630088806152344,60,"[6, 8, 0, 2, 9, 5, 10, 1, 4, 11, 7, 3]"
12,forward_checking,8,1,0.00012969970703125,18,"[9, 2, 5, 10, 6, 1, 11, 7, 0, 3, 8, 4]"
12,forward_checking,9,1,0.00011682510375976562,16,"[4, 2, 10, 5, 11, 8, 0, 7, 3, 1, 6, 9]"
12,forward_checking,10,1,0.00024056434631347656,25,"[0, 2, 9, 6, 3, 10, 8, 11, 4, 1, 7, 5]"
12,forward_checking,11,1,0.0006380081176757812,68,"[9, 6, 1, 5, 11, 0, 7, 10, 4, 2, 8, 3]"
12,forward_checking,12,1,0.00011348724365234375,13,"[9, 0, 10, 3, 6, 11, 1, 8, 5, 2, 4, 7]"
12,forward_checking,13,1,0.0003845691680908203,42,"[3, 5, 7, 1, 11, 0, 8, 4, 2, 9, 6, 10]"
12,forward_checking,14,1,8.249282836914062e-05,12,"[2, 6, 11, 7, 0, 3, 9, 4, 1, 8, 10, 5]"
12,forward_checking,15,1,0.00024127960205078125,30,"[7, 11, 4, 6, 1, 3, 10, 8, 2, 5, 9, 0]"
12,forward_checking,16,1,9.417533874511719e-05,13,"[9, 1, 6, 4, 11, 8, 0, 5, 10, 2, 7, 3]"
12,forward_checking,17,1,0.0005586147308349609,59,"[3, 9, 2, 10, 8, 11, 5, 1, 6, 0, 7, 4]"
12,forward_checking,18,1,0.0004394054412841797,55,"[2, 7, 9, 0, 5, 1, 10, 6, 11, 3, 8, 4]"
12,forward_checking,19,1,0.0009832382202148438,111,"[10, 8, 2, 5, 3, 0, 7, 11, 4, 6, 1, 9]"
12,forward_checking,20,1,0.00044345855712890625,51,"[1, 10, 7, 5, 0, 2, 4, 11, 8, 3, 9, 6]"
12,forward_checking,21,1,0.0001423358917236328,19,"[10, 8, 5, 1, 4, 7, 0, 11, 9, 2, 6, 3]"
12,forward_checking,22,1,0.00010132789611816406,14,"[3, 9, 7, 4, 2, 11, 6, 1, 10, 8, 5, 0]"
12,forward_checking,23,1,0.0001327991485595703,17,"[7, 4, 11, 1, 6, 9, 3, 8, 0, 2, 10, 5]"
12,forward_checking,24,1,0.0008664131164550781,102,"[2, 9, 7, 0, 3, 6, 10, 1, 11, 5, 8, 4]"
12,forward_checking,25,1,8.988380432128906e-05,12,"[9, 6, 1, 10, 0, 7, 4, 11, 8, 2, 5, 3]"
12,forward_checking,26,1,0.00035190582275390625,38,"[0, 4, 6, 8, 10, 2, 7, 3, 1, 11, 9, 5]"
12,forward_checking,27,1,8.916854858398438e-05,12,"[1, 11, 5, 10, 4, 9, 0, 3, 7, 2, 8, 6]"
12,forward_checking,28,1,0.0002956390380859375,34,"[4, 1, 8, 6, 11, 0, 7, 5, 10, 2, 9, 3]"
12,forward_checking,29,1,0.0006434917449951172,67,"[5, 0, 11, 7, 4, 1, 8, 10, 3, 6, 2, 9]"
15,backtracking,0,1,0.0008153915405273438,83,"[5, 14, 12, 3, 6, 4, 13, 11, 0, 2, 7, 9, 1, 8, 10]"
15,backtracking,1,1,4.863739013671875e-05,15,"[10, 4, 2, 5, 12, 1, 7, 13, 6, 14, 9, 0, 3, 8, 11]"
15,backtracking,2,1,5.6743621826171875e-05,15,"[10, 7, 1, 12, 9, 2, 14, 5, 11, 0, 6, 3, 13, 8, 4]"
15,backtracking,3,1,0.0012371540069580078,108,"[8, 12, 9, 0, 3, 7, 11, 2, 14, 1, 10, 5, 13, 6, 4]"
15,backtracking,4,1,0.008390665054321289,843,"[0, 3, 1, 11, 8, 10, 13, 4, 14, 12, 6, 2, 5, 7, 9]"
15,backtracking,5,1,0.0052051544189453125,506,"[5, 13, 1, 9, 12, 6, 3, 10, 0, 4, 8, 11, 14, 2, 7]"
15,backtracking,6,1,0.0004649162292480469,52,"[13, 4, 9, 7, 14, 2, 6, 12, 0, 8, 11, 5, 3, 1, 10]"
15,backtracking,7,1,0.0004429817199707031,54,"[14, 10, 7, 2, 0, 8, 6, 13, 9, 1, 12, 5, 3, 11, 4]"
15,backtracking,8,1,0.0005757808685302734,48,"[14, 1, 5, 7, 13, 0, 12, 6, 4, 2, 11, 9, 3, 10, 8]"
15,backtracking,9,1,0.0069751739501953125,672,"[13, 0, 9, 7, 14, 1, 3, 10, 6, 11, 2, 4, 12, 8, 5]"
15,backtracking,10,1,0.000362396240234375,41,"[0, 6, 12, 5, 1, 11, 4, 10, 3, 13, 9, 2, 8, 14, 7]"
15,backtracking,11,1,0.002324819564819336,243,"[12, 14, 7, 13, 4, 6, 1, 10, 2, 11, 8, 3, 9, 0, 5]"
15,backtracking,12,1,6.771087646484375e-05,16,"[10, 2, 9, 5, 12, 4, 1, 11, 13, 3, 7, 14, 8, 6, 0]"
15,backtracking,13,1,0.002913951873779297,273,"[1, 11, 8, 3, 0, 14, 5, 10, 13, 6, 12, 2, 4, 7, 9]"
15,backtracking,14,1,0.0018124580383300781,177,"[11, 5, 12, 4, 0, 14, 9, 6, 1, 3, 7, 13, 10, 8, 2]"
15,backtracking,15,1,0.0011396408081054688,105,"[13, 2, 4, 1, 7, 10, 12, 0, 8, 3, 14, 6, 11, 9, 5]"
